price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,construction_year,price_per_bedroom
6265.0,0.42,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,2013,1566.25
6230.0,0.69,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,1940,2076.67
6230.0,0.18,3,1,3,yes,no,no,no,no,1,yes,unfurnished,1950,2076.67
6195.0,0.18,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,1983,2065.0
6195.0,0.58,3,2,3,yes,yes,no,no,yes,0,no,furnished,1998,2065.0
6195.0,0.18,3,2,1,yes,yes,yes,no,no,2,yes,furnished,1963,2065.0
6160.0,-0.28,3,1,4,yes,no,no,no,yes,0,no,unfurnished,1999,2053.33
6160.0,0.16,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,1942,1540.0
6125.0,0.61,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,2002,2041.67
6107.5,-0.87,4,1,3,yes,no,no,no,no,1,no,semi-furnished       ,1975,1526.88
6090.0,0.7,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,2007,1522.5
6090.0,0.69,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,1986,2030.0
6090.0,1.52,3,1,3,yes,no,no,no,yes,2,no,unfurnished,1960,2030.0
6083.0,-0.37,6,2,2,yes,no,no,no,no,0,no,furnished,1990,1013.83
6083.0,2.1,3,1,1,yes,no,yes,no,no,2,yes,furnished,1967,2027.67
6020.0,0.79,2,1,1,yes,yes,yes,no,no,2,no,furnished,1954,3010.0
6020.0,1.34,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,1981,2006.67
6020.0,0.83,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,1998,2006.67
5950.0,-0.65,4,1,2,yes,yes,no,no,yes,0,no,furnished,2005,1487.5
5950.0,0.61,3,1,1,yes,no,yes,no,yes,0,yes,furnished,1976,1983.33
5950.0,0.89,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,1950,1983.33
5950.0,0.67,3,1,1,yes,yes,yes,no,no,2,yes,furnished,1983,1983.33
5950.0,0.99,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,1951,1983.33
5950.0,0.53,4,20,1,yes,no,yes,no,no,1,yes,semi-furnished,1942,1487.5
5950.0,1.03,4,2,2,yes,no,no,no,no,0,no,furnished,1991,1487.5
5950.0,0.66,3,2,4,yes,no,no,no,no,1,no,furnished,2020,1983.33
5943.0,4.87,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,1972,1981.0
5880.0,0.95,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,1994,1960.0
5880.0,0.65,3,2,3,yes,no,no,no,yes,0,no,unfurnished,1940,1960.0
5873.0,0.18,3,1,3,yes,yes,no,no,yes,1,no,furnished,1978,1957.67
5873.0,2.95,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,1959,1957.67
5866.0,-0.14,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,1986,1955.33
5810.0,0.34,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,1982,1452.5
5810.0,0.04,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,1996,1936.67
5810.0,-0.14,3,1,3,yes,no,no,no,yes,0,no,unfurnished,2000,1936.67
5803.0,0.88,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,2017,1934.33
5775.0,0.42,3,2,4,yes,no,no,no,yes,0,no,unfurnished,1970,1925.0
5740.0,0.14,4,2,2,yes,no,no,no,yes,2,no,unfurnished,1964,1435.0
5740.0,-0.22,4,1,2,yes,no,no,no,no,1,no,semi-furnished,1942,1435.0
5740.0,-0.05,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,1943,1913.33
5740.0,0.58,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,1953,1913.33
5740.0,0.32,3,2,4,yes,no,no,no,yes,0,no,unfurnished,1980,1913.33
5652.5,0.72,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,2012,1413.12
5600.0,2.51,4,2,2,yes,no,no,no,no,1,no,semi-furnished,1959,1400.0
5600.0,-0.14,5,2,3,no,no,yes,yes,no,0,no,unfurnished,2012,1120.0
5600.0,-0.19,4,1,2,yes,yes,yes,no,yes,1,no,furnished,1966,1400.0
5600.0,-0.05,3,1,4,yes,no,no,no,no,0,no,furnished,2006,1866.67
5600.0,2.51,2,1,1,yes,no,no,no,no,1,no,semi-furnished,1992,2800.0
5600.0,0.18,3,2,2,yes,no,no,no,no,1,no,semi-furnished,2007,1866.67
5600.0,0.58,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,2001,1866.67
5600.0,0.69,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,1954,1400.0
5600.0,0.01,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,1944,1866.67
5565.0,-0.33,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,2007,1391.25
5565.0,0.14,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,1951,1113.0
5530.0,-0.84,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,2017,1843.33
5530.0,-0.68,3,24,2,yes,no,no,no,no,2,no,semi-furnished,2015,1843.33
5530.0,0.46,3,2,1,yes,no,yes,no,no,2,yes,furnished,1996,1843.33
5523.0,0.83,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,1956,1841.0
5495.0,-1.06,4,2,2,no,yes,yes,no,no,1,no,furnished,1964,1373.75
5495.0,1.34,3,1,1,yes,no,no,no,no,2,no,semi-furnished,1969,1831.67
5460.0,-0.91,3,2,1,yes,yes,yes,no,yes,0,no,furnished,1961,1820.0
5460.0,0.51,4,1,4,yes,yes,no,no,yes,0,no,furnished,1965,1365.0
5460.0,0.46,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,2020,1820.0
5460.0,0.69,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,2000,1365.0
5425.0,0.8,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,2001,1808.33
5390.0,0.75,3,2,2,yes,yes,yes,no,no,1,yes,furnished,1973,1796.67
5383.0,0.62,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,1972,1794.33
5320.0,1.25,3,1,1,yes,no,no,no,yes,2,yes,unfurnished,2010,1773.33
5285.0,-0.24,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,1971,2642.5
5250.0,-0.39,4,1,2,yes,no,no,no,yes,0,no,furnished,1953,1312.5
5250.0,0.67,4,2,2,no,no,no,no,yes,0,no,semi-furnished,2011,1312.5
5250.0,0.18,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,1996,1750.0
5250.0,2.4,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,1964,1750.0
5250.0,1.53,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,2019,1750.0
5250.0,0.09,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,1981,1312.5
5250.0,-0.61,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,1958,1750.0
5250.0,2.18,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,1980,1312.5
5250.0,1.59,3,1,1,yes,no,no,no,yes,2,no,furnished,1994,1750.0
5243.0,0.44,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,2019,1747.67
5229.0,0.92,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,1951,1743.0
5215.0,-0.89,3,2,2,yes,no,no,no,no,2,no,semi-furnished,1978,1738.33
5215.0,-0.28,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,1941,1303.75
5215.0,0.97,3,1,2,yes,yes,yes,no,no,1,yes,furnished,1984,1738.33
5145.0,-0.79,3,1,2,no,no,no,no,yes,0,no,semi-furnished,1964,1715.0
5145.0,1.34,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,2007,1715.0
5110.0,-0.98,3,2,2,yes,yes,yes,no,no,0,no,furnished,1943,1703.33
5110.0,-0.98,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2016,1703.33
5110.0,2.93,2,1,2,yes,no,no,no,no,0,yes,furnished,1975,2555.0
5110.0,0.46,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,2001,1703.33
5075.0,0.29,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,2009,2537.5
5040.0,-0.73,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,1983,2520.0
5040.0,1.16,4,1,2,yes,no,no,no,yes,2,no,furnished,1972,1260.0
5040.0,2.6,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,1951,1680.0
5040.0,0.69,3,1,1,yes,yes,yes,no,no,0,yes,furnished,1950,1680.0
5033.0,-0.14,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,1994,2516.5
5005.0,1.41,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,1977,1668.33
4970.0,-0.32,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,1968,1242.5
4970.0,1.2,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,1942,1656.67
4956.0,-1.07,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,1967,1652.0
4935.0,0.39,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,1963,1645.0
4907.0,-0.42,3,1,2,yes,no,no,no,no,1,no,furnished,1993,1635.67
4900.0,-0.27,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,1991,1633.33
4900.0,-0.47,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,1986,1633.33
4900.0,-0.46,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,1960,2450.0
4900.0,0.14,4,1,2,yes,no,no,no,no,0,no,semi-furnished,1993,1225.0
4900.0,-0.16,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,1969,1633.33
4900.0,0.55,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,2007,1633.33
4900.0,0.32,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,1975,2450.0
4900.0,-0.98,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,1979,1633.33
4900.0,-0.99,3,1,3,yes,no,no,no,no,0,no,semi-furnished,1949,1633.33
4900.0,0.75,3,1,1,yes,no,no,no,no,0,no,unfurnished,2013,1633.33
4900.0,-0.21,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,1981,1633.33
4900.0,3.62,3,1,1,yes,no,no,no,no,2,no,furnished,1963,1633.33
4893.0,-0.78,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,1943,1223.25
4893.0,-0.05,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,1986,1223.25
4865.0,-0.35,2,1,1,yes,no,yes,no,no,0,no,unfurnished,1990,2432.5
4830.0,-0.44,3,1,3,yes,no,no,no,no,0,no,unfurnished,1943,1610.0
4830.0,0.43,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,1971,1610.0
4830.0,0.82,3,1,2,yes,no,no,no,yes,2,yes,furnished,1949,1610.0
4830.0,-0.14,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,1950,2415.0
4795.0,0.88,3,1,2,yes,no,yes,no,no,0,no,unfurnished       ,1967,1598.33
4795.0,1.39,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,1985,1198.75
4767.0,-0.78,4,2,2,yes,no,no,no,no,0,no,semi-furnished,2011,1191.75
4760.0,1.89,2,17,1,yes,no,yes,no,yes,2,no,semi-furnished,1979,2380.0
4760.0,0.56,3,1,2,yes,no,yes,no,yes,1,no,furnished,2001,1586.67
4760.0,2.38,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,1984,2380.0
4753.0,0.62,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,1974,2376.5
4690.0,0.03,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,1974,1563.33
4690.0,0.42,2,1,1,yes,no,yes,no,yes,1,no,furnished,1973,2345.0
4690.0,-0.69,3,1,2,yes,no,no,no,no,2,no,semi-furnished,1945,1563.33
4690.0,2.12,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,1976,1172.5
4690.0,0.14,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,1940,2345.0
4690.0,-0.37,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,2015,1563.33
4655.0,-0.63,3,1,2,yes,no,yes,no,no,0,no,furnished       ,1974,1551.67
4620.0,-0.44,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,2009,1540.0
4620.0,-0.57,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,1993,1540.0
4620.0,0.27,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,2020,1540.0
4620.0,-1.04,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,2002,2310.0
4620.0,-0.04,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,1948,1540.0
4613.0,-0.28,4,2,2,yes,no,yes,no,no,0,no,semi-furnished       ,2001,1153.25
4585.0,-0.51,3,1,2,yes,no,no,no,no,1,no,furnished,1941,1528.33
4585.0,-0.59,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,1975,1528.33
4550.0,-0.63,3,1,1,yes,no,no,no,no,2,no,semi-furnished,1980,1516.67
4550.0,-0.68,3,1,2,yes,no,no,no,yes,0,no,furnished,1976,1516.67
4550.0,-1.19,3,1,2,yes,no,yes,no,no,0,no,furnished,1988,1516.67
4550.0,0.1,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,1965,1516.67
4550.0,0.12,3,1,2,yes,no,no,no,no,2,yes,unfurnished,2007,1516.67
4550.0,-0.74,3,1,1,yes,no,no,no,no,0,yes,semi-furnished      ,1975,1516.67
4550.0,1.53,4,1,4,yes,no,no,no,no,3,no,unfurnished,1970,1137.5
4543.0,-0.05,4,2,2,yes,yes,yes,no,no,0,yes,furnished,1973,1135.75
4515.0,-0.74,3,1,3,yes,no,no,no,no,0,no,semi-furnished,1958,1505.0
4515.0,-0.77,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,1957,1505.0
4515.0,2.21,3,1,1,yes,no,no,no,no,0,no,semi-furnished,1942,1505.0
4515.0,-0.74,2,1,2,yes,no,no,no,no,0,yes,furnished,2009,2257.5
4480.0,-0.28,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,1952,1120.0
4480.0,0.36,2,1,1,yes,no,no,no,yes,1,no,unfurnished,1984,2240.0
4480.0,-0.51,3,1,2,yes,no,no,no,no,2,no,furnished,2006,1493.33
4480.0,1.46,3,1,1,yes,no,no,no,no,0,no,furnished,1979,1493.33
4480.0,-0.5,3,1,2,yes,no,no,no,no,1,no,semi-furnished,1979,1493.33
4473.0,0.58,2,1,1,yes,no,yes,no,yes,1,no,furnished,2015,2236.5
4473.0,-0.9,3,1,2,yes,no,no,no,yes,1,no,furnished,1962,1491.0
4473.0,-0.74,3,1,2,yes,no,no,no,no,0,no,semi-furnished,1970,1491.0
4445.0,-0.63,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,1957,2222.5
4410.0,-0.53,3,1,2,no,no,no,no,no,0,no,semi-furnished,2010,1470.0
4410.0,-0.1,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,2011,2205.0
4403.0,-1.03,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,1958,1467.67
4403.0,-0.1,3,1,1,yes,no,no,no,no,2,yes,unfurnished,1983,1467.67
4403.0,-0.09,3,1,2,yes,no,no,no,no,1,no,semi-furnished,1989,1467.67
4382.0,-0.07,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,1981,1095.5
4375.0,-0.56,3,1,2,yes,no,no,no,no,0,no,unfurnished,1986,1458.33
4340.0,-0.28,3,2,3,yes,no,no,yes,no,1,no,furnished,1961,1446.67
4340.0,-1.49,5,1,2,no,no,yes,no,no,0,no,semi-furnished,2013,868.0
4340.0,-0.48,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,2013,1446.67
4340.0,-0.75,4,1,2,yes,no,no,no,no,2,no,furnished,1968,1085.0
4340.0,0.62,4,1,2,yes,no,no,no,no,0,no,semi-furnished,1998,1085.0
4319.0,-0.5,2,1,1,yes,no,yes,no,no,0,no,furnished,1940,2159.5
4305.0,-0.33,2,1,1,yes,no,no,no,no,1,no,semi-furnished,2003,2152.5
4305.0,2.44,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,1956,2152.5
4277.0,-0.79,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,1976,1425.67
4270.0,0.58,2,1,1,yes,no,no,no,no,0,no,furnished,1964,2135.0
4270.0,0.58,2,1,2,yes,no,no,no,no,0,no,unfurnished,2003,2135.0
4270.0,-0.28,2,1,1,yes,no,no,no,yes,2,no,furnished,2007,2135.0
4270.0,-1.36,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,1991,1423.33
4270.0,-0.35,4,1,2,yes,no,no,no,no,0,no,furnished,1948,1067.5
4270.0,1.24,2,1,1,yes,no,no,no,no,1,no,furnished,1996,2135.0
4235.0,0.72,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,1972,1411.67
4235.0,-1.08,3,1,1,yes,no,yes,no,no,0,yes,furnished,1959,1411.67
4200.0,0.18,3,1,2,yes,no,no,no,yes,0,no,unfurnished,2012,1400.0
4200.0,-0.03,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,2011,1400.0
4200.0,0.35,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,1953,2100.0
4200.0,-1.16,4,3,2,no,no,no,no,no,0,no,semi-furnished,1998,1050.0
4200.0,-1.0,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,1995,1400.0
4200.0,-1.1,4,2,2,no,no,no,no,no,0,no,semi-furnished,2004,1050.0
4200.0,-0.32,2,1,1,no,no,no,no,no,1,no,unfurnished,2015,2100.0
4200.0,-0.51,4,2,2,no,no,no,no,no,0,no,semi-furnished,1976,1050.0
4200.0,-1.29,3,1,2,no,no,no,no,no,0,no,semi-furnished,1965,1400.0
4200.0,-0.24,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,1972,1400.0
4200.0,-0.68,3,2,2,yes,no,yes,no,no,0,no,unfurnished,1982,1400.0
4200.0,0.32,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,1954,1400.0
4200.0,0.88,3,1,1,yes,no,no,no,no,3,no,furnished,1968,1400.0
4200.0,-0.48,3,1,3,yes,no,no,no,no,0,no,semi-furnished,1960,1400.0
4200.0,-0.74,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,2008,1400.0
4200.0,-1.38,3,1,3,yes,no,no,no,no,1,yes,unfurnished,1962,1400.0
4200.0,-0.28,3,1,1,yes,no,yes,no,no,0,no,furnished,1947,1400.0
4193.0,1.46,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,2012,1397.67
4193.0,-0.77,3,1,2,yes,no,no,no,no,1,no,semi-furnished,2001,1397.67
4165.0,-0.12,3,1,2,yes,no,no,no,no,1,no,semi-furnished,1953,1388.33
4165.0,-0.48,3,1,2,yes,no,no,no,no,2,no,semi-furnished,1945,1388.33
4165.0,-0.49,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,1940,1388.33
